request_id,district,category,hour_of_day,day_of_week,month,is_ramadan,resolution_hours
R000001,district_19,flooding,7,Tue,2,0,35.6
R000002,district_02,road_damage,23,Wed,7,0,95.4
R000003,district_12,road_damage,16,Fri,1,0,19.9
R000004,district_19,flooding,7,Thu,3,0,60.3
R000005,district_02,road_damage,4,Sun,1,0,134.3
R000006,district_14,flooding,6,Mon,1,0,62.9
R000007,district_13,road_damage,16,Mon,12,0,21.0
R000008,district_10,encroachment,11,Sat,8,0,41.2
R000009,district_11,waste,16,Wed,10,0,69.6
R000010,district_13,road_damage,11,Wed,1,1,112.1
R000011,district_19,waste,22,Mon,10,0,29.2
R000012,district_09,road_damage,8,Sat,7,0,23.5
R000013,district_24,encroachment,14,Mon,4,1,71.1
R000014,district_22,flooding,3,Wed,10,0,186.7
R000015,district_18,road_damage,7,Tue,7,0,47.8
R000016,district_15,flooding,21,Thu,6,0,60.7
R000017,district_15,encroachment,7,Sun,9,0,111.9
R000018,district_03,flooding,1,Mon,9,0,67.0
R000019,district_05,road_damage,15,Tue,4,0,88.6
R000020,district_07,encroachment,11,Thu,7,0,29.4
R000021,district_15,encroachment,7,Thu,11,0,39.3
R000022,district_21,road_damage,8,Tue,8,0,16.6
R000023,district_13,waste,10,Mon,6,0,56.7
R000024,district_16,waste,17,Wed,10,1,56.4
R000025,district_22,lighting,9,Wed,11,0,132.2
R000026,district_21,flooding,1,Sat,4,0,48.3
R000027,district_12,road_damage,2,Wed,1,1,39.0
R000028,district_02,road_damage,19,Wed,12,0,55.3
R000029,district_04,waste,2,Tue,11,0,80.1
R000030,district_23,lighting,18,Wed,10,0,118.4
R000031,district_16,waste,18,Sat,7,0,14.1
R000032,district_01,waste,18,Thu,10,0,139.6
R000033,district_02,flooding,7,Fri,9,0,71.4
R000034,district_19,waste,6,Sun,9,0,34.4
R000035,district_24,road_damage,0,Fri,12,1,66.3
R000036,district_02,waste,7,Tue,3,0,47.5
R000037,district_03,waste,7,Fri,6,0,69.3
R000038,district_16,waste,17,Sun,7,0,28.3
R000039,district_06,road_damage,17,Thu,2,0,111.4
R000040,district_03,waste,9,Mon,10,0,57.0
R000041,district_08,waste,21,Tue,8,0,73.9
R000042,district_18,waste,6,Tue,5,0,60.3
R000043,district_07,waste,11,Sun,1,0,35.9
R000044,district_07,encroachment,14,Fri,8,0,138.4
R000045,district_20,waste,10,Sat,1,0,58.1
R000046,district_15,lighting,6,Sat,8,0,29.4
R000047,district_24,road_damage,3,Sat,6,1,10.9
R000048,district_02,flooding,23,Fri,3,0,38.5
R000049,district_14,waste,2,Fri,2,0,54.6
R000050,district_12,waste,2,Sun,8,0,134.3
R000051,district_19,waste,13,Thu,11,0,44.2
R000052,district_10,road_damage,7,Sun,6,0,42.7
R000053,district_20,waste,5,Mon,8,1,68.2
R000054,district_06,flooding,1,Mon,5,1,47.0
R000055,district_14,road_damage,12,Thu,2,0,43.9
R000056,district_07,road_damage,4,Tue,5,0,41.9
R000057,district_02,road_damage,2,Mon,4,0,135.0
R000058,district_03,road_damage,5,Sat,2,1,50.8
R000059,district_08,lighting,3,Sat,8,0,58.0
R000060,district_19,flooding,7,Fri,10,0,24.1
R000061,district_13,road_damage,8,Tue,11,0,82.1
R000062,district_03,flooding,8,Sat,5,0,37.3
R000063,district_09,waste,11,Thu,9,0,31.3
R000064,district_11,encroachment,9,Sat,9,0,6.8
R000065,district_07,waste,9,Fri,2,0,121.6
R000066,district_18,waste,6,Tue,3,0,25.5
R000067,district_15,road_damage,5,Sun,1,0,60.1
R000068,district_17,road_damage,15,Wed,8,0,28.5
R000069,district_14,road_damage,23,Fri,5,0,196.6
R000070,district_21,lighting,14,Sat,5,0,33.1
R000071,district_08,road_damage,22,Wed,10,0,57.0
R000072,district_06,road_damage,6,Fri,10,0,75.2
R000073,district_09,road_damage,9,Wed,2,0,153.4
R000074,district_08,waste,3,Fri,3,0,18.9
R000075,district_19,waste,19,Tue,10,0,37.5
R000076,district_13,flooding,5,Tue,2,0,20.9
R000077,district_10,road_damage,5,Wed,1,0,92.2
R000078,district_12,road_damage,9,Sun,11,0,32.0
R000079,district_18,encroachment,2,Sat,9,0,70.4
R000080,district_10,flooding,11,Wed,1,1,20.8
R000081,district_19,lighting,2,Mon,3,0,19.0
R000082,district_11,encroachment,6,Sun,5,0,32.3
R000083,district_08,road_damage,19,Thu,7,0,66.5
R000084,district_01,flooding,4,Sat,6,0,16.0
R000085,district_09,road_damage,19,Wed,1,0,33.1
R000086,district_01,road_damage,16,Fri,8,0,15.9
R000087,district_13,lighting,8,Mon,2,0,91.7
R000088,district_04,waste,4,Tue,12,0,25.2
R000089,district_11,road_damage,7,Fri,7,0,28.4
R000090,district_16,flooding,0,Wed,7,0,46.3
R000091,district_20,encroachment,18,Fri,3,0,115.4
R000092,district_23,road_damage,3,Wed,3,0,52.9
R000093,district_17,road_damage,17,Fri,11,1,43.0
R000094,district_21,road_damage,12,Wed,4,0,47.2
R000095,district_07,waste,2,Tue,9,0,20.9
R000096,district_06,waste,16,Tue,9,0,14.4
R000097,district_08,road_damage,5,Tue,4,0,91.7
R000098,district_22,waste,19,Thu,2,0,39.6
R000099,district_21,waste,22,Fri,3,0,63.0
R000100,district_20,road_damage,2,Mon,7,0,66.6
R000101,district_19,waste,17,Tue,7,0,39.0
R000102,district_11,road_damage,23,Fri,2,0,45.6
R000103,district_11,waste,11,Sun,4,0,81.5
R000104,district_23,road_damage,4,Mon,8,0,109.2
R000105,district_21,road_damage,20,Thu,8,0,80.5
R000106,district_03,lighting,12,Mon,11,1,89.2
R000107,district_19,waste,0,Thu,1,0,153.0
R000108,district_16,waste,8,Sat,7,0,60.7
R000109,district_15,waste,20,Mon,11,0,221.1
R000110,district_06,waste,17,Sat,10,0,125.0
R000111,district_12,lighting,19,Tue,6,0,7.0
R000112,district_13,flooding,5,Thu,12,0,21.5
R000113,district_14,waste,13,Mon,11,0,34.3
R000114,district_02,road_damage,19,Wed,7,0,98.6
R000115,district_24,waste,0,Sat,9,0,107.9
R000116,district_01,encroachment,0,Fri,6,0,48.5
R000117,district_24,waste,18,Sat,10,0,78.0
R000118,district_20,lighting,3,Sun,11,0,34.4
R000119,district_17,flooding,14,Fri,10,0,25.3
R000120,district_02,waste,13,Sat,4,0,60.5
R000121,district_18,road_damage,15,Thu,12,0,31.6
R000122,district_10,lighting,20,Sat,7,0,59.9
R000123,district_03,lighting,6,Thu,1,0,58.6
R000124,district_10,waste,17,Tue,2,0,7.7
R000125,district_17,road_damage,5,Tue,2,0,37.7
