listing_id,make,model_year,mileage_km,city,condition_grade,photos_count,days_on_platform,listed_month,sale_price_sar
L00001,Hyundai,2017,172300,Riyadh,good,18,73,2024-05,37800
L00002,Nissan,2021,109700,Makkah,good,22,67,2024-10,39300
L00003,Nissan,2025,500,Jeddah,good,14,53,2024-03,74800
L00004,Mazda,2020,119100,Jeddah,excellent,16,84,2024-08,40700
L00005,Hyundai,2021,95500,Jeddah,excellent,9,86,2025-06,61700
L00006,Nissan,2022,56300,Jeddah,excellent,13,7,2025-10,43200
L00007,Kia,2013,287200,Dammam,good,14,34,2024-12,11900
L00008,Hyundai,2015,251600,Riyadh,excellent,5,35,2025-08,39400
L00009,Toyota,2011,201400,Riyadh,good,13,10,2024-07,15200
L00010,Toyota,2024,33800,Riyadh,good,11,75,2025-06,51000
L00011,Lexus,2009,370400,Riyadh,good,8,43,2025-01,35000
L00012,Nissan,2011,227900,Riyadh,good,13,49,2024-09,9500
L00013,Toyota,2025,14100,Riyadh,fair,3,28,2025-01,69600
L00014,Hyundai,2022,79500,Makkah,excellent,18,9,2025-03,45700
L00015,Chevrolet,2021,88300,Madinah,excellent,4,59,2025-02,34400
L00016,Toyota,2009,288400,Riyadh,excellent,11,40,2024-08,9000
L00017,Chevrolet,2017,187600,Dammam,fair,13,63,2025-09,29900
L00018,Nissan,2016,218300,Dammam,fair,14,9,2025-07,17400
L00019,Hyundai,2025,22000,Riyadh,good,19,59,2024-06,71600
L00020,Kia,2025,22400,Jeddah,excellent,20,78,2024-09,86200
L00021,Hyundai,2018,140800,Dammam,excellent,10,39,2025-07,33300
L00022,Toyota,2010,384000,Riyadh,good,18,84,2025-05,11600
L00023,Ford,2012,279400,Riyadh,excellent,17,43,2024-01,12100
L00024,Hyundai,2010,320700,Riyadh,good,23,83,2025-03,17600
L00025,Toyota,2019,114400,Riyadh,excellent,24,24,2024-02,49500
L00026,Ford,2018,151400,Dammam,excellent,9,56,2024-04,32200
L00027,Hyundai,2024,18500,Jeddah,excellent,17,22,2024-02,58200
L00028,Hyundai,2016,172700,Dammam,good,13,51,2025-06,40700
L00029,Ford,2011,268200,Jeddah,good,16,12,2025-01,15200
L00030,Toyota,2009,304300,Jeddah,excellent,12,55,2024-04,16300
L00031,Kia,2022,89500,Jeddah,good,4,75,2025-01,74200
L00032,Toyota,2017,192100,Riyadh,good,6,66,2024-10,36200
L00033,Kia,2008,382400,Madinah,fair,8,33,2024-12,8000
L00034,Chevrolet,2017,154800,Riyadh,good,16,13,2024-06,31900
L00035,Nissan,2013,231000,Dammam,excellent,24,54,2024-05,20700
L00036,Toyota,2024,36500,Riyadh,good,3,58,2024-12,45300
L00037,Nissan,2017,181800,Riyadh,good,10,71,2025-02,22700
L00038,Kia,2021,118800,Jeddah,good,6,24,2024-06,29100
L00039,Ford,2025,19300,Riyadh,excellent,18,53,2024-12,59300
L00040,Toyota,2015,201500,Makkah,fair,21,9,2025-07,27000
L00041,Toyota,2021,62200,Riyadh,fair,15,88,2024-06,54700
L00042,Ford,2020,70600,Dammam,good,10,25,2024-09,26900
L00043,Ford,2009,343800,Riyadh,good,21,37,2024-05,9900
L00044,Nissan,2021,118700,Jeddah,fair,9,32,2024-05,52500
L00045,Mercedes,2011,259500,Makkah,excellent,21,61,2024-03,52500
L00046,Hyundai,2010,276500,Dammam,excellent,16,52,2024-09,12500
L00047,Nissan,2020,127200,Riyadh,good,8,77,2025-09,31400
L00048,Nissan,2011,282900,Dammam,fair,3,76,2024-01,11000
L00049,Kia,2015,128500,Jeddah,good,7,5,2024-04,16800
L00050,Chevrolet,2019,123500,Jeddah,excellent,6,28,2025-10,38600
L00051,Toyota,2009,345500,Dammam,fair,11,18,2025-03,8000
L00052,Lexus,2017,121200,Riyadh,excellent,23,29,2024-07,74500
L00053,Nissan,2016,176100,Dammam,excellent,16,36,2025-05,24200
L00054,Kia,2020,82100,Jeddah,excellent,17,83,2024-01,19900
L00055,Mazda,2008,307900,Jeddah,good,23,69,2025-09,9100
L00056,Mercedes,2024,25300,Riyadh,good,3,37,2025-07,127600
L00057,Toyota,2012,295300,Jeddah,good,13,88,2025-01,17500
L00058,Hyundai,2012,315600,Riyadh,fair,19,21,2025-02,13600
L00059,Kia,2012,251600,Makkah,good,9,72,2024-08,8600
L00060,Toyota,2010,320700,Madinah,excellent,22,83,2025-09,10700
L00061,Mazda,2011,293800,Makkah,fair,4,60,2025-03,11900
L00062,Toyota,2024,32400,Riyadh,good,20,29,2024-06,44800
L00063,Hyundai,2010,290300,Riyadh,good,18,27,2025-06,12100
L00064,Ford,2008,341500,Riyadh,fair,3,71,2024-09,10900
L00065,Nissan,2025,18700,Riyadh,good,19,28,2024-05,146600
L00066,Kia,2016,164300,Dammam,good,24,25,2024-06,26000
L00067,Toyota,2008,364400,Riyadh,good,5,11,2024-07,8800
L00068,Toyota,2021,112200,Dammam,excellent,18,31,2024-12,26200
L00069,Ford,2008,342600,Riyadh,excellent,14,84,2024-08,8000
L00070,Ford,2008,329900,Dammam,excellent,21,78,2025-02,8000
L00071,Kia,2019,118600,Dammam,fair,15,68,2024-08,35000
L00072,Hyundai,2015,235300,Dammam,excellent,23,51,2024-03,28200
L00073,Kia,2024,32700,Dammam,good,22,86,2024-06,53500
L00074,Mazda,2009,389600,Makkah,good,11,12,2024-09,8000
L00075,Toyota,2020,97800,Riyadh,fair,7,67,2024-07,45500
L00076,BMW,2013,260900,Jeddah,fair,16,57,2025-05,87600
L00077,Hyundai,2017,156700,Riyadh,fair,21,49,2025-08,22900
L00078,Nissan,2020,92800,Jeddah,excellent,12,57,2024-02,48100
L00079,Ford,2025,17300,Dammam,excellent,16,69,2024-04,76600
L00080,Lexus,2021,106000,Riyadh,fair,14,0,2024-11,94400
L00081,Mazda,2024,44800,Makkah,good,16,28,2024-07,49800
L00082,Ford,2024,37400,Riyadh,excellent,6,37,2024-04,83700
L00083,Nissan,2016,182100,Riyadh,excellent,14,82,2025-02,18600
L00084,Ford,2015,205900,Dammam,excellent,22,63,2025-06,23800
L00085,Nissan,2015,204700,Riyadh,good,22,27,2025-01,15400
L00086,Lexus,2023,57900,Madinah,good,24,30,2024-02,111500
L00087,Toyota,2009,279200,Riyadh,good,11,1,2025-02,8000
L00088,Toyota,2014,215400,Makkah,fair,10,14,2025-04,19100
L00089,Hyundai,2019,123500,Dammam,good,4,40,2025-02,29600
L00090,Hyundai,2009,350500,Riyadh,excellent,7,2,2024-04,19500
L00091,Toyota,2023,70700,Riyadh,good,10,58,2024-03,65400
L00092,Mercedes,2025,20100,Riyadh,excellent,13,89,2025-08,117900
L00093,BMW,2011,309000,Dammam,good,11,48,2025-01,27900
L00094,Mercedes,2022,129600,Riyadh,good,7,75,2024-03,131600
L00095,Kia,2013,197600,Jeddah,good,9,44,2024-12,15600
L00096,Kia,2015,227000,Madinah,good,7,40,2025-02,21100
L00097,Kia,2015,236700,Riyadh,good,7,73,2025-06,8100
L00098,Ford,2020,110300,Dammam,good,20,3,2025-08,42600
L00099,Nissan,2022,65800,Riyadh,excellent,18,11,2024-08,77800
L00100,Kia,2015,194300,Riyadh,excellent,23,77,2025-05,20600
L00101,Hyundai,2025,4000,Jeddah,good,4,1,2025-08,59000
L00102,Kia,2024,24000,Riyadh,fair,16,39,2025-10,94600
L00103,Toyota,2011,239500,Jeddah,good,13,36,2024-07,8000
L00104,BMW,2013,193700,Dammam,good,19,43,2025-03,45900
L00105,Hyundai,2008,368200,Riyadh,good,4,43,2025-02,12100
L00106,Hyundai,2019,153400,Jeddah,good,22,62,2025-05,33000
L00107,Mercedes,2025,13700,Riyadh,good,9,38,2025-08,192600
L00108,Nissan,2024,36800,Riyadh,fair,22,72,2024-05,87100
L00109,Toyota,2009,340500,Riyadh,excellent,20,48,2024-02,8000
L00110,Nissan,2012,230100,Jeddah,fair,3,79,2025-02,20100
L00111,Toyota,2025,22700,Jeddah,fair,8,57,2024-11,56900
L00112,Toyota,2008,362800,Makkah,excellent,12,31,2024-04,9500
L00113,Mercedes,2021,96200,Makkah,good,12,0,2025-06,143400
L00114,Lexus,2013,242300,Madinah,good,3,58,2025-08,72500
L00115,Ford,2019,116700,Makkah,good,18,81,2024-07,47000
L00116,Kia,2009,362500,Riyadh,good,4,72,2025-01,11200
L00117,Ford,2020,117000,Riyadh,good,7,8,2024-03,55600
L00118,Nissan,2022,106800,Riyadh,good,10,45,2025-04,44000
L00119,Toyota,2008,270400,Riyadh,good,22,67,2025-04,8000
L00120,Toyota,2025,1000,Dammam,good,5,78,2025-05,52700
L00121,Mercedes,2023,35500,Madinah,good,7,87,2025-01,208900
L00122,Nissan,2008,301600,Jeddah,excellent,4,41,2024-12,8000
L00123,Chevrolet,2014,233900,Riyadh,excellent,21,16,2024-02,20400
L00124,Mercedes,2019,137000,Makkah,fair,6,37,2024-05,130000
L00125,Toyota,2020,70900,Riyadh,good,14,33,2025-07,38400
L00126,BMW,2010,308800,Riyadh,good,4,28,2025-01,24500
L00127,Nissan,2012,248700,Dammam,fair,19,43,2024-03,13500
L00128,Chevrolet,2022,75400,Jeddah,good,19,22,2025-10,75000
L00129,Hyundai,2019,136900,Riyadh,excellent,8,70,2025-09,27800
L00130,Nissan,2011,337800,Dammam,good,22,71,2025-09,10000
L00131,Kia,2025,23500,Madinah,excellent,23,26,2024-10,57200
L00132,Lexus,2011,249600,Riyadh,excellent,24,76,2025-09,30600
L00133,Chevrolet,2022,60600,Makkah,excellent,6,23,2024-05,45300
L00134,Toyota,2021,73500,Madinah,good,15,34,2025-09,44400
L00135,Toyota,2019,142300,Riyadh,good,7,2,2024-03,31500
L00136,Mercedes,2019,163100,Madinah,good,24,3,2024-03,123800
L00137,Nissan,2023,50400,Jeddah,excellent,7,39,2024-06,97800
L00138,Toyota,2008,319800,Dammam,fair,23,4,2024-07,8300
L00139,Hyundai,2015,210500,Jeddah,good,21,41,2024-04,23600
L00140,Mercedes,2023,67900,Jeddah,excellent,19,62,2025-10,238600
L00141,Hyundai,2023,59500,Jeddah,good,15,65,2025-10,40900
L00142,Chevrolet,2013,234900,Riyadh,good,8,12,2024-03,15200
L00143,Lexus,2018,127300,Dammam,fair,5,87,2024-03,129000
L00144,Hyundai,2024,25500,Jeddah,excellent,6,30,2024-05,61400
L00145,Hyundai,2013,225000,Jeddah,good,6,12,2024-12,25900
